label,material_class,material_subclass,surface,transparency,angle_index,channel,wavelength_nm,ir_laser,valid,core,halo_r50,halo_r10,halo_energy_10_40,speckle,add_r,add_g,add_b,flood,flood_background,saturated_core,gain_factor,cam_core,cam_halo_r50,cam_halo_r10,cam_speckle,cam_add_r,cam_add_g,cam_add_b,cam_saturated_core,ir_core,ir_halo_r50,ir_halo_r10,ir_halo_energy_10_40,ir_speckle,ir_saturated_core,red_green_ratio,red2_green_ratio,fringe_contrast_object,fringe_contrast_background,fringe_contrast_ratio,fringe_albedo_object,fringe_albedo_background,fringe_reliable_fraction,fringe_object_px,sample_id,scan_id
wooden stick 01,wood,,matte,opaque,2,1,635,False,True,59.11,4,12,0.232,1.234,67.6,49.9,59.8,False,,0.9,0.4167,,,,,,,,,2665.0,4,5,0.197,0.0,0.59,0.876,0.955,26.53,14.11,1.881,152.4,244.0,0.8893,22079,bd88779a-f473-4156-b314-6631b4a9a962,335be0ab-6c55-408e-ae95-b2b567d90f4a
wooden stick 01,wood,,matte,opaque,2,2,635,False,True,64.46,6,32,0.203,0.614,66.6,58.9,67.9,False,,1.0,0.4167,,,,,,,,,1233.0,6,6,0.206,19.237,0.17,0.876,0.955,26.53,14.11,1.881,152.4,244.0,0.8893,22079,bd88779a-f473-4156-b314-6631b4a9a962,335be0ab-6c55-408e-ae95-b2b567d90f4a
wooden stick 01,wood,,matte,opaque,2,3,940,True,True,6.02,60,60,0.072,0.315,16.4,2.9,-1.2,False,,0.0,0.4167,,,,,,,,,2769.0,5,5,0.232,14.883,0.45,0.876,0.955,26.53,14.11,1.881,152.4,244.0,0.8893,22079,bd88779a-f473-4156-b314-6631b4a9a962,335be0ab-6c55-408e-ae95-b2b567d90f4a
wooden stick 01,wood,,matte,opaque,2,4,530,False,True,67.5,5,9,0.283,1.284,63.3,69.5,69.7,False,,0.97,0.4167,,,,,,,,,5139.0,5,5,0.198,28.875,0.69,0.876,0.955,26.53,14.11,1.881,152.4,244.0,0.8893,22079,bd88779a-f473-4156-b314-6631b4a9a962,335be0ab-6c55-408e-ae95-b2b567d90f4a
wooden stick 01,wood,,matte,opaque,1,1,635,False,True,14.76,6,27,0.212,0.633,17.2,12.4,14.6,False,,1.0,0.4167,,,,,,,,,10565.0,4,5,0.164,10.563,0.66,0.241,0.992,1.48,1.55,0.956,179.7,203.8,0.7452,60531,bd88779a-f473-4156-b314-6631b4a9a962,175bea6a-e1f4-43a0-9bf8-3ae3844f7bd1
wooden stick 01,wood,,matte,opaque,1,2,635,False,True,60.79,6,26,0.24,0.702,55.4,56.5,70.4,False,,1.0,0.4167,,,,,,,,,4700.0,4,4,0.18,17.758,0.52,0.241,0.992,1.48,1.55,0.956,179.7,203.8,0.7452,60531,bd88779a-f473-4156-b314-6631b4a9a962,175bea6a-e1f4-43a0-9bf8-3ae3844f7bd1
wooden stick 01,wood,,matte,opaque,1,3,940,True,True,2.83,4,12,0.116,0.0,5.5,0.5,2.5,False,,0.0,0.4167,,,,,,,,,6543.0,4,4,0.186,8.631,0.59,0.241,0.992,1.48,1.55,0.956,179.7,203.8,0.7452,60531,bd88779a-f473-4156-b314-6631b4a9a962,175bea6a-e1f4-43a0-9bf8-3ae3844f7bd1
wooden stick 01,wood,,matte,opaque,1,4,530,False,True,61.28,5,6,0.531,2.282,48.0,67.3,68.6,False,,0.93,0.4167,,,,,,,,,7183.0,5,5,0.169,31.873,0.59,0.241,0.992,1.48,1.55,0.956,179.7,203.8,0.7452,60531,bd88779a-f473-4156-b314-6631b4a9a962,175bea6a-e1f4-43a0-9bf8-3ae3844f7bd1
limestone 01,stone,rough course,matte,opaque,2,1,635,False,True,44.97,5,12,0.364,1.112,46.2,42.1,46.5,False,,1.0,0.4167,,,,,,,,,80.0,6,6,0.266,0.0,0.52,10.968,14.551,30.45,14.05,2.168,172.7,243.3,0.8783,12499,50959356-9ba1-480d-931f-03969734e3a8,862f0dbb-2daf-46cc-b006-ab6e33d04f53
limestone 01,stone,rough course,matte,opaque,2,2,635,False,True,59.66,6,23,0.264,0.755,57.5,56.1,65.3,False,,1.0,0.4167,,,,,,,,,5081.0,4,5,0.194,84.892,0.83,10.968,14.551,30.45,14.05,2.168,172.7,243.3,0.8783,12499,50959356-9ba1-480d-931f-03969734e3a8,862f0dbb-2daf-46cc-b006-ab6e33d04f53
limestone 01,stone,rough course,matte,opaque,2,3,940,True,True,3.11,4,5,0.076,0.0,3.2,1.7,4.4,False,,0.0,0.4167,,,,,,,,,3692.0,4,6,0.245,40.59,0.66,10.968,14.551,30.45,14.05,2.168,172.7,243.3,0.8783,12499,50959356-9ba1-480d-931f-03969734e3a8,862f0dbb-2daf-46cc-b006-ab6e33d04f53
limestone 01,stone,rough course,matte,opaque,2,4,530,False,True,4.1,4,5,0.095,0.0,5.7,2.3,4.3,False,,0.0,0.4167,,,,,,,,,3730.0,5,5,0.198,0.0,0.66,10.968,14.551,30.45,14.05,2.168,172.7,243.3,0.8783,12499,50959356-9ba1-480d-931f-03969734e3a8,862f0dbb-2daf-46cc-b006-ab6e33d04f53
limestone 01,stone,rough course,matte,opaque,1,1,635,False,True,47.34,5,16,0.275,0.882,54.9,41.3,45.8,False,,0.97,0.4167,,,,,,,,,3763.0,4,4,0.194,68.596,0.72,10.686,11.591,30.84,14.43,2.138,188.3,243.1,0.872,12922,50959356-9ba1-480d-931f-03969734e3a8,506539fe-e929-47f1-bd30-88432b9ad634
limestone 01,stone,rough course,matte,opaque,1,2,635,False,True,51.35,6,35,0.188,0.565,57.7,46.0,50.3,False,,1.0,0.4167,,,,,,,,,0.0,60,60,0.0,133.569,0.21,10.686,11.591,30.84,14.43,2.138,188.3,243.1,0.872,12922,50959356-9ba1-480d-931f-03969734e3a8,506539fe-e929-47f1-bd30-88432b9ad634
limestone 01,stone,rough course,matte,opaque,1,3,940,True,True,5.63,4,60,0.072,0.818,11.2,1.6,4.2,False,,0.0,0.4167,,,,,,,,,4055.0,4,5,0.215,28.125,0.41,10.686,11.591,30.84,14.43,2.138,188.3,243.1,0.872,12922,50959356-9ba1-480d-931f-03969734e3a8,506539fe-e929-47f1-bd30-88432b9ad634
limestone 01,stone,rough course,matte,opaque,1,4,530,False,True,4.43,7,60,0.079,0.0,10.0,1.1,2.2,False,,0.0,0.4167,,,,,,,,,1161.0,5,5,0.188,0.0,0.69,10.686,11.591,30.84,14.43,2.138,188.3,243.1,0.872,12922,50959356-9ba1-480d-931f-03969734e3a8,506539fe-e929-47f1-bd30-88432b9ad634
circuit board,fiberglass cloth press,heat resistant fiber-glass material,mixed,opaque,2,1,635,False,True,60.4,6,21,0.285,0.756,70.0,51.3,59.9,False,,1.0,0.5352,,,,,,,,,1326.0,4,4,0.225,0.0,0.48,1.086,1.198,29.56,18.15,1.628,159.8,235.0,0.904,30193,d38e2e99-5d3f-411e-82cd-cd4cac79f4a1,9c8c828e-3c98-447e-8acc-b3e4518529ed
circuit board,fiberglass cloth press,heat resistant fiber-glass material,mixed,opaque,2,2,635,False,True,66.65,6,29,0.209,0.693,76.4,60.2,63.3,False,,1.0,0.5395,,,,,,,,,3825.0,4,4,0.269,0.0,0.45,1.086,1.198,29.56,18.15,1.628,159.8,235.0,0.904,30193,d38e2e99-5d3f-411e-82cd-cd4cac79f4a1,9c8c828e-3c98-447e-8acc-b3e4518529ed
circuit board,fiberglass cloth press,heat resistant fiber-glass material,mixed,opaque,2,3,940,True,True,6.6,6,12,0.139,0.0,8.4,4.9,6.5,False,,0.0,0.5395,,,,,,,,,37.0,6,6,0.288,17.481,0.31,1.086,1.198,29.56,18.15,1.628,159.8,235.0,0.904,30193,d38e2e99-5d3f-411e-82cd-cd4cac79f4a1,9c8c828e-3c98-447e-8acc-b3e4518529ed
circuit board,fiberglass cloth press,heat resistant fiber-glass material,mixed,opaque,2,4,530,False,True,55.63,6,10,0.443,1.508,59.7,53.6,53.7,False,,1.0,0.535,,,,,,,,,4956.0,5,5,0.087,0.0,0.21,1.086,1.198,29.56,18.15,1.628,159.8,235.0,0.904,30193,d38e2e99-5d3f-411e-82cd-cd4cac79f4a1,9c8c828e-3c98-447e-8acc-b3e4518529ed
circuit board,fiberglass cloth press,heat resistant fiber-glass material,mixed,opaque,1,1,635,False,True,60.99,4,13,0.307,1.072,73.7,51.3,57.9,False,,0.97,0.5124,,,,,,,,,9516.0,4,5,0.206,0.0,0.76,1.135,1.081,30.9,18.32,1.687,162.1,235.9,0.9013,32270,d38e2e99-5d3f-411e-82cd-cd4cac79f4a1,bbba7afc-dc1b-4765-80f0-60ae57360e99
circuit board,fiberglass cloth press,heat resistant fiber-glass material,mixed,opaque,1,2,635,False,True,58.11,7,32,0.206,0.65,67.1,51.5,55.7,False,,1.0,0.5104,,,,,,,,,3712.0,4,4,0.189,0.0,0.69,1.135,1.081,30.9,18.32,1.687,162.1,235.9,0.9013,32270,d38e2e99-5d3f-411e-82cd-cd4cac79f4a1,bbba7afc-dc1b-4765-80f0-60ae57360e99
circuit board,fiberglass cloth press,heat resistant fiber-glass material,mixed,opaque,1,3,940,True,True,4.66,5,23,0.089,0.0,7.2,2.9,3.9,False,,0.0,0.5146,,,,,,,,,1246.0,5,5,0.27,15.791,0.52,1.135,1.081,30.9,18.32,1.687,162.1,235.9,0.9013,32270,d38e2e99-5d3f-411e-82cd-cd4cac79f4a1,bbba7afc-dc1b-4765-80f0-60ae57360e99
circuit board,fiberglass cloth press,heat resistant fiber-glass material,mixed,opaque,1,4,530,False,True,53.75,5,10,0.462,1.584,58.2,52.8,50.3,False,,1.0,0.5146,,,,,,,,,2676.0,7,8,0.274,32.424,0.55,1.135,1.081,30.9,18.32,1.687,162.1,235.9,0.9013,32270,d38e2e99-5d3f-411e-82cd-cd4cac79f4a1,bbba7afc-dc1b-4765-80f0-60ae57360e99
paper manual,paper,,matte,opaque,2,1,635,False,True,132.32,4,7,0.46,2.133,154.6,109.7,132.6,False,,0.69,0.8469,,,,,,,,,3731.0,4,4,0.252,30.191,0.76,0.899,1.132,14.05,15.5,0.906,110.4,228.9,0.9035,61167,c519733b-018e-419f-8385-2049d795ee30,d6fbed50-c8a0-4252-a4d2-50b9695bbb82
paper manual,paper,,matte,opaque,2,2,635,False,True,166.6,5,15,0.341,0.97,171.9,158.7,169.3,False,,1.0,0.8469,,,,,,,,,7998.0,4,4,0.349,12.735,0.9,0.899,1.132,14.05,15.5,0.906,110.4,228.9,0.9035,61167,c519733b-018e-419f-8385-2049d795ee30,d6fbed50-c8a0-4252-a4d2-50b9695bbb82
paper manual,paper,,matte,opaque,2,3,940,True,True,6.49,5,31,0.137,0.883,9.3,3.7,6.4,False,,0.0,0.8504,,,,,,,,,3910.0,5,5,0.331,21.966,0.72,0.899,1.132,14.05,15.5,0.906,110.4,228.9,0.9035,61167,c519733b-018e-419f-8385-2049d795ee30,d6fbed50-c8a0-4252-a4d2-50b9695bbb82
paper manual,paper,,matte,opaque,2,4,530,False,True,147.11,4,5,0.571,2.452,131.2,169.4,140.7,False,,1.0,0.8504,,,,,,,,,1418.0,5,5,0.224,14.799,0.66,0.899,1.132,14.05,15.5,0.906,110.4,228.9,0.9035,61167,c519733b-018e-419f-8385-2049d795ee30,d6fbed50-c8a0-4252-a4d2-50b9695bbb82
paper manual,paper,,matte,opaque,1,1,635,False,True,117.78,4,8,0.471,1.779,130.1,104.5,118.8,False,,0.76,0.6709,,,,,,,,,5335.0,4,4,0.222,52.164,0.45,0.919,1.054,18.56,16.29,1.139,103.4,229.6,0.9033,43564,c519733b-018e-419f-8385-2049d795ee30,0356c0f0-13e3-4fe1-a067-b8496cb5fd7d
paper manual,paper,,matte,opaque,1,2,635,False,True,135.1,5,15,0.344,0.938,139.1,128.9,137.3,False,,1.0,0.6791,,,,,,,,,5436.0,4,6,0.177,28.865,0.55,0.919,1.054,18.56,16.29,1.139,103.4,229.6,0.9033,43564,c519733b-018e-419f-8385-2049d795ee30,0356c0f0-13e3-4fe1-a067-b8496cb5fd7d
paper manual,paper,,matte,opaque,1,3,940,True,True,7.07,5,33,0.116,0.932,6.4,6.4,8.4,False,,0.0,0.6902,,,,,,,,,0.0,60,60,0.0,20.479,0.38,0.919,1.054,18.56,16.29,1.139,103.4,229.6,0.9033,43564,c519733b-018e-419f-8385-2049d795ee30,0356c0f0-13e3-4fe1-a067-b8496cb5fd7d
paper manual,paper,,matte,opaque,1,4,530,False,True,128.19,4,5,0.526,2.283,119.5,141.1,124.0,False,,1.0,0.7015,,,,,,,,,1333.0,4,4,0.206,0.0,0.59,0.919,1.054,18.56,16.29,1.139,103.4,229.6,0.9033,43564,c519733b-018e-419f-8385-2049d795ee30,0356c0f0-13e3-4fe1-a067-b8496cb5fd7d
